id,date,amount,currency,counterparty,reference
BNK-0049,2026-08-31,-202.45,USD,Acme Freight,INV-4449
BNK-0050,2026-08-31,-486.55,USD,Beacon Consulting,INV-4450
BNK-0051,2026-08-31,-3174.86,USD,Blue River Logistics,INV-4451
BNK-0052,2026-08-31,-3456.11,USD,Cedar Office Supply,INV-4452
BNK-0053,2026-08-31,-1023.34,USD,Northstar Software,INV-4453
BNK-0054,2026-08-31,-4010.55,USD,Summit Telecom,INV-4454
BNK-0055,2026-08-31,-4811.77,USD,Vertex Cloud Services,INV-4455
BNK-0056,2026-08-31,-1391.88,USD,Acme Freight,INV-4456
BNK-0057,2026-08-31,-808.66,USD,Beacon Consulting,INV-4457
BNK-0058,2026-08-31,-4116.33,USD,Blue River Logistics,INV-4458
BNK-0059,2026-08-31,-4890.08,USD,Cedar Office Supply,INV-4459
BNK-0060,2026-08-31,-4124.23,USD,Northstar Software,INV-4460
BNK-0061,2026-08-31,-4073.76,USD,Summit Telecom,INV-4461
BNK-0062,2026-08-31,-1951.45,USD,Vertex Cloud Services,INV-4462
BNK-0063,2026-08-31,-157.23,USD,Acme Freight,INV-4463
BNK-0064,2026-08-31,-4061.39,USD,Beacon Consulting,INV-4464
BNK-0065,2026-08-31,-2729.78,USD,Blue River Logistics,INV-4465
BNK-0066,2026-08-31,-4726.66,USD,Cedar Office Supply,INV-4466
BNK-0067,2026-08-31,-4723.03,USD,Northstar Software,INV-4467
BNK-0068,2026-08-31,-3872.28,USD,Summit Telecom,INV-4468
BNK-0069,2026-08-31,-104.41,USD,Vertex Cloud Services,BANK-69
BNK-0070,2026-08-31,-36.52,USD,Acme Freight,BANK-70
BNK-0071,2026-08-31,-171.94,USD,Beacon Consulting,BANK-71
BNK-0072,2026-08-31,-1434.65,USD,Blue River Logistics,INV-4472
BNK-0073,2026-08-31,-1964.73,USD,Cedar Office Supply,INV-4473
BNK-0074,2026-08-31,-924.10,USD,Northstar Software,INV-4474
BNK-0075,2026-08-31,-2007.31,USD,Summit Telecom,INV-4475
BNK-0076,2026-08-31,-2005.84,USD,Acme Freight,INV-4476
BNK-0077,2026-08-31,-4600.37,USD,Northstar Software,INV-4477
BNK-0078,2026-08-31,-4813.74,USD,Blue River Logistics,INV-4478
BNK-0079,2026-08-31,-3128.31,USD,Beacon Consulting,INV-4479
